id,name,sex,university,university_short,awards,type,genre,country,location,rating,year,Produktionsfirma
AW,Anna Winger,2,Columbia University New York,CUNY,1,1,,,,,,
TrAn,Transatlantic,,,,,2,6,DE,Marseille,"6,6",2023,Studio Airlift
CoCa,Comrades und Cash Geheime Geschaefte unter dem Eisernen Vorhand,,,,,2,,,,"7,5",2018,MobyDok Medienproduktion
De83,Deutschland 83,,,,,2,6,DE,Berlin,"8,1",2015,RTL
AK,Alexa Karolinksi,2,School of Visual Arts,SVA,1,1,,,,,,
HK,Henning Kamm,1,Universitaet Lueneburg,UL,3,1,,,,,,
EvFcCr,Everyone is Fcking Crazy,,,,,2,6,DE,,"7,2",2023,Real Film Berlin
ScHu,Schlafende Hunde,,,,,2,4,DE,Berlin,"6,4",2023,Real Film Berlin
3eiSt,3 einhalb Stunden,,,,,2,4,DE,,"6,3",2021,Real Film Berlin
AuDeToBu,Auckland Detectives Toedliche Bucht,,,,,2,4,NZL,Auckland,"6,8",2019,Letterbox Filmproduktion
PaWo7,Papa auf Wolke 7,,,,,2,2,DE,Berlin,"5,6",2020,Real Film Berlin
Po110,Polizeiruf 110,,,,,2,6,DE,,"6,4",1971,Deutscher Fernsehfunk
VoBiBi,Von Bienen und Blumen,,,,,2,,DE,Gerswalde,6,2019,Detailfilm
MoPion,Monsieur Pierre geht online,,,,,2,2,FR,Koeln,"6,3",2017,Ici et la Productions
Erlo,Erloesung,,,,,2,4,DNK,Romo,7,2016,Zentropa Entertainments
BeMe,Berlin Metanoia,,,,,2,6,DE,Berlin,"7,5",2016,Detailfilm
OnTwTh,One Two Three,,,,,2,,ARM,,"7,2",2015,Bars Media
Szgy,Szerdai gyerek,,,,,2,6,HUN,,"6,7",2015,Popfilm
Dina,Dissonance,,,,,2,6,DE,,"6,9",2015,FrameboX
Dela,Delay,,,,,2,2,DE,,"6,8",2014,
II,II,,,,,2,6,,Sterea Ellada,"6,2",2014,Horsefly Productions
Tekp,Telekomando,,,,,2,2,DE,,"7,1",2014,Detailfilm
Foev,Forever,,,,,2,6,DE,Berlin,"7,6",2014,Detailfilm
Kuzu,Kuzu,,,,,2,6,TUR,Erzincan,"6,6",2015,Institute for the Readjustment of Clocks
FuBe,Future Beach,,,,,2,6,BRA,Berlin,"6,3",2014,Coracao da Selva
Sama,Sa mamom,,,,,2,6,BIH,Sarajevo,6,2013,SCCA pro ba
KeibeBe,K ein besonderes Beduerfnis,,,,,2,,ITA,Italien,"7,3",2014,Detailfilm
Kadra,Kathedralen,,,,,2,,DE,Ordos,"8,1",2013,Detailfilm
NaGa,Nashorn im Galopp,,,,,2,2,DE,Berlin,"7,7",2013,Detailfilm
DKAI,Die Kaiserin,,,,,2,6,DE,Berlin,"7,8",2022,Sommerhaus Serien
DKS1E1,Staffel 1 Episode 1,,,,,2,6,DE,Berlin,"7,6",2022,Sommerhaus Serien
DKS1E2,Staffel 1 Episode 2,,,,,2,6,DE,Berlin,"7,6",2022,Sommerhaus Serien
DKS1E3,Staffel 1 Episode 3,,,,,2,6,DE,Berlin,"7,6",2022,Sommerhaus Serien
DKS1E4,Staffel 1 Episode 4,,,,,2,6,DE,Berlin,"7,7",2022,Sommerhaus Serien
DKS1E5,Staffel 1 Episode 5,,,,,2,6,DE,Berlin,8,2022,Sommerhaus Serien
DKS1E6,Staffel 1 Episode 6,,,,,2,6,DE,Berlin,"8,3",2022,Sommerhaus Serien
FC,Florian Cossen,1,Filmakademie Baden Wuerttemberg,FBW,2,1,,,,,,
DeNsu,Mitten in Deutschland NSU,,,,,2,4,DE,,"7,3",2016,
CoHe,Coconut Hero,,,,,2,2,DE,,"6,3",2015,UFA Fiction
KG,Katrin Gebbe,2,Academy of Visual Arts Enschedde,AoVa,3,1,,,,,,
PeBl,Pelikanblut,,,,,2,6,BGR,,"6,1",2019,Junafilm
FiGuEv,The Field Guide to Evil,,,,,2,,USA,Istanbul,"4,8",2018,Aurum Film
MiHi,Fuenf Minuten im Himmel,,,,,2,4,DE,Freiburg,"5,1",2016,Zieglerfilm Baden Baden GmbH
ToTa,Tore tanzt,,,,,2,4,DE,Hamburg,"6,9",2013,Junafilm
KE,Katharina Eyssen,2,Hochschule fuer Fernsehen und Film Drehbuch und Dramaturgie,HFFDD,1,1,,,,,,
BaKr,Der Barcelona Krimi,,,,,2,4,DE,Barcelona,"6,3",2022,
ZeGe,Zeit der Geheimnisse,,,,,2,6,DE,,"6,5",2019,Netflix Studios
RaDa,Rate your Date,,,,,2,2,DE,Berlin,"5,6",2019,SevenPictures Film
RoZae,Rockstars zaehmt man nicht,,,,,2,2,DE,,"5,6",2017,Pantaleon Films
DoRo,Ein Dorf rockt ab,,,,,2,2,DE,Brandenburg,"5,5",2017,Amalia Film
SeWe,Seitenwechsel,,,,,2,2,DE,Berlin,"5,5",2016,Odeon Fiction
HeBl,Heute bin ich blond,,,,,2,6,BEL,Hamburg,"6,8",2013,Goldkind Filmproduktion
BL,Bernd Lange,1,Filmakademie Baden Wuerttemberg,FBW,2,1,,,,,,
TaFa,Tatort In der Familie,,,,,2,4,DE,,7,2020,ARD Degeto
TaBlAn,Tatort Die Blicke der Anderen,,,,,2,4,DE,Gaggenau,"6,2",2022,
TaHoTo,Tatort Hochamt fuer Toni,,,,,2,4,DE,Arberg,"6,3",2022,
DaNe,Das Netz,,,,,2,4,DE,,"6,1",2022,Hugofilm Features
DeKr,Der Kriminalist,,,,,2,4,DE,Berlin,7,2020,Monaco Film GmbH
UeLae,Der Ueberlaeufer,,,,,2,6,DE,Polen,"6,8",2020,Dreamtool Entertainment
CrDe,Criminal Deutschland,,,,,2,4,DE,,"7,6",2020,Netflix Studios
Po110Si,Polizeiruf 110 Der Fall Sikorska,,,,,2,4,DE,,"6,4",2018,
DaVe,Das Verschwinden,,,,,2,4,CZE,,"7,3",2017,23 5 Filmproduktion GmbH
KlLue,Eine kleine Luege,,,,,2,2,DE,Berlin,"7,2",2017,Dreamtool Entertainment
ZwZwZe,Zweimal zweites Leben,,,,,2,6,DE,Muenchen,"5,9",2016,Dreamtool Entertainment
AkGr,Akte Grueninger,,,,,2,6,CHE,St Gallen,"6,8",2014,SRF
JN,Janna Nandzik,2,,,1,1,,,,,,
DrCk,Druck,,,,,2,6,DE,,"7,8",2018,Bantry Bay Productions
JeRk,Jerks,,,,,2,2,DE,Potsdam,"8,5",2018,Pyjama Pictures
AbKa,About Kate,,,,,2,2,FRA,Berlin,"7,7",2013,Ulmen Television
JL,Jochen Laube,1,Filmakademie Baden Wuerttemberg,FBW,2,1,,,,,,
StTr,Die stillen Trabanten,,,,,2,6,DE,Leipzig,"6,5",2022,Sommerhaus Filmproduktion
SoSc,Ich bin Sophie Scholl,,,,,2,,DE,,"6,7",2021,Sommerhaus Filmproduktion
HeAg,Hello Again Ein Tag fuer immer,,,,,2,2,DE,,"5,7",2020,Sommerhaus Filmproduktion
BeAl,Berlin Alexanderplatz,,,,,2,4,NLD,,"6,9",2020,Sommerhaus Filmproduktion
HiKa,Als Hitler das rosa Kaninchen stahl,,,,,2,6,DE,Berlin,7,2019,Sommerhaus Filmproduktion
WaUm,Was uns nicht umbringt,,,,,2,6,DE,Hamburg,"6,1",2018,Cine Plus
InGae,In den Gaengen,,,,,2,6,DE,Bitterfeld,"6,9",2018,Sommerhaus Filmproduktion
TaRoSc,Tatort Der rote Schatten,,,,,2,4,DE,,"6,5",2017,ARD Degeto Film
ZaFr,Zapped Frank Zappa in seinen eigenen Worte,,,,,2,,FRA,,"7,3",2016,UFA Fiction
MaeEx,Maengelexemplar,,,,,2,2,DE,Berlin,"5,9",2016,UFA Fiction
IcWe,Ich bin dann mal weg,,,,,2,2,DE,,"6,1",2015,UFA Fiction
GrEk,Grzimek,,,,,2,6,DE,,"6,6",2015,UFA Fiction
KrWe,Kreuzweg,,,,,2,6,FRA,Berlin,"7,4",2014,ARTE
16xDe,16x Deutschland Menschen Orte Geschichten,,,,,2,,DE,,"7,6",2013,Bayrischer Rundfunk
VeFr,Verratene Freunde,,,,,2,6,DE,Stuttgart,"6,4",2013,ARTE
JaLe,5 Jahre Leben,,,,,2,6,FRA,Berlin,"6,8",2013,teamWorx Television und Film
FM,Fabian Maubach,1,Filmakademie Baden Wuerttemberg,FBW,2,1,,,,,,
BDC,The Billion Dollar Code,,,,,2,6,DE,Berlin Budapest,8,2021,Kundschafter Filmproduktion
BDCS1E1,Staffel 1 Episode 1,,,,,2,6,DE,Berlin Budapest,8,2021,Kundschafter Filmproduktion
BDCS1E2,Staffel 1 Episode 2,,,,,2,6,DE,Berlin Budapest,8,2021,Kundschafter Filmproduktion
BDCS1E3,Staffel 1 Episode 3,,,,,2,6,DE,Berlin Budapest,"8,2",2021,Kundschafter Filmproduktion
BDCS1E4,Staffel 1 Episode 4,,,,,2,6,DE,Berlin Budapest,"8,4",2021,Kundschafter Filmproduktion
RT,Robert Thalheim,1,Freie Uni Berlin,FU,2,1,,,,,,
TaGo,Tatort Goldbach,,,,,2,4,DE,,"6,1",2017,Ard
TaNiWa,Tatort Nichts als die Wahrheit 1,,,,,2,4,DE,Berlin,"6,6",2023,
TaNiAlWa,Tatort Nichts als die Wahrheit 2,,,,,2,4,DE,Berlin,"6,5",2023,
TkKg,TKKG,,,,,2,2,DE,Ruedersdorf,"5,8",2019,Warner Bros Filmproductions Germany
KuFr,Kundschafter des Friedens,,,,,2,2,DE,Gran Canaria,"5,9",2017,Majestic Filmverleih
PoKaPr,Polizeiruf 110 Kaefer und Prinzessin,,,,,2,4,DE,Klein Ziethen,"6,2",2014,
ElTern,Eltern,,,,,2,2,DE,Berlin,"6,7",2013,Kundschafter Filmproduktion
OZ,Oliver Ziegenbalg,1,Universitaet Karlsruhe,UK,1,1,,,,,,
RoAd,Roads,,,,,2,6,FRA,Tangier,"6,3",2019,Missing Link Films
KmH,25 km h,,,,,2,2,DE,Fußbach,"7,2",2018,Mythos Film
BlDaLe,Mein Blind Date mit dem Leben,,,,,2,2,DE,Muenchen,"7,1",2017,Ziegler Cinema
BeLeSo,Becks letzter Sommer,,,,,2,2,DE,Budapest,"5,8",2015,Claussen Woebke Putz Filmproduktion
MuWe,Frau Mueller muss weg,,,,,2,2,DE,Koeln,"6,2",2015,Constantin Film
AB,Andreas Banz,1,Filmuniversitaet Babelsberg,HFF,,1,,,,,,
KiDa,KIDA Von Beirut nach Berlin,,,,,2,,DE,Berlin,,2023,ARD TV
HaSy,Das Hamlet Syndrom,,,,,2,,POL,Lviv,"7,4",2022,Balapolis
AlMa,Almania,,,,,2,2,DE,,"6,8",2021,DCM Pictures
HoTa,Hoellental,,,,,2,4,DE,,"8,4",2021,Kundschafter Filmproduktion
BiDa,Big Dating,,,,,2,2,DE,,"7,5",2020,Kundschafter Filmproduktion
WaKn,Wagenknecht,,,,,2,,DE,Bielefeld,"6,3",2020,Kundschafter Filmproduktion
MdB,Eichwald MdB,,,,,2,2,DE,,"7,3",2015,Kundschafter Filmproduktion
BrScNo,Meine Brueder und Schwestern im Norden,,,,,2,,DE,Pyongyang,"7,2",2016,Kundschafter Filmproduktion
VeVo,Verliebt verlobt verloren,,,,,2,,DE,,"7,6",2015,Kundschafter Filmproduktion
SB,Stephan Barth,,,,,,,,,,,
EvLu,Evolution,,,,,2,6,DE,Berlin,"6,4",2021,Match Factory Production
BiToFr,Bis wir tot sind oder frei,,,,,2,6,CHE,Zuerich,6,2020,ARTE
StRe,Die Stimme des Regenwaldes,,,,,2,6,CHE,Borneo,"7,5",2019,A Film Company
BrEr,Brimstone Erloese und von dem Boesen,,,,,2,6,NLD,Domahaza,7,2016,N279 Entertainment
PoTo,Polder Tokyo Heidi,,,,,2,6,CHE,,"4,9",2015,Dschoint Ventschr Filmproduktion AG
JeNi,Jetzt oder Nie,,,,,2,2,CHE,Zuerich,"5,9",2014,Vega Film
ViGr,Viktoria A Tale of Grave and Greed,,,,,2,6,CHE,Budapest,"6,2",2014,HesseGreutert Film AG
GeHe,Geld her oder Autsch,,,,,2,2,DE,Budapest,"3,7",2013,Proton Cinema
ClGe,Clara und das Geheimnis der Baeren,,,,,2,,CHE,Bavaria,"5,9",2013,HesseGreutert Film AG
SBP,Szandra Barbara Poszar,,Eoetvoes Lorand University,ELB,,2,4,DE,Madrid,"7,6",2019,
SaSe,Saint Seiya Die Krieger des Zodiac Der Film,,,,,2,6,USA,Budapest,"4,4",2023,Stage 6 Films
MiSo,Midsommar,,,,,2,6,USA,Budapest,"7,1",2010,A24
TeRa,Terminal Rache war nie schoener,,,,,2,2,IRL,Budapest,"5,3",2018,Beagle Pug Films
RoWi,A Rose in Winter,,,,,2,6,GBR,Budapest,"6,1",2018,
TePi,Terapia,,,,,2,6,HUN,Budapest,"8,7",2017,
CG,Criminal Germany,,,,,2,4,DE,Madrid,"8,1",2019,Idiotlamp Productions
CGS1E1,Staffel 1 Episode 1,,,,,2,4,DE,Madrid,"8,1",2019,Idiotlamp Productions
CGS1E2,Staffel 1 Episode 2,,,,,2,4,DE,Madrid,"7,4",2019,Idiotlamp Productions
CGS1E3,Staffel 1 Episode 3,,,,,2,4,DE,Madrid,"8,3",2019,Idiotlamp Productions
GK,Goerge Kay,1,"Wellington College, Berkshire",WC,,1,,,,,,
Hija,Hijack,,,,,2,6,GBR,London,"7,4",2023,60Fourty Films
Lupi,Lupin,,,,,2,4,FRA,West Hollywood,"7,5",2021,Gaumont Television
CriVeKoe,Criminal Vereinigtes Koenigreich,,,,,2,4,GBR,London,"7,7",2020,Idiotlamp Productions
CriFra,Criminal Frankreich,,,,,2,4,FRA,,"7,2",2019,
CriSpa,Criminal Spanien,,,,,2,4,ESP,,"6,9",2019,
StaJu,Stage Jungesellenabscheid,,,,,2,2,GBR,London,7,2016,Idiotlamp Production
JFS,Jim Field Smith,1,"Wellington College, Berkshire, University of Birmingham","WC , UB",,1,,,,,,
Livi,Litvinenko,,,,,2,6,GBR,Koeln,"7,3",2022,ITV Studios
TruSe,Truth Seekers,,,,,2,2,GBR,Culver City,7,2020,Amazon Studios
TheWroMa,The Wrong Mans,,,,,2,2,GBR,London,"4,6",2018,BBC Studios
WreVoAb,Wrecked Voll abgesuertzt,,,,,2,2,GBR,Los Angeles,"7,3",2018,Haven Entertainment
DetheGu,Defending the Guilty,,,,,2,2,GBR,London,"7,1",2018,Big Talk Productions
Pea,Pearl,,,,,2,2,GBR,Burbank,,2016,ABC Signature
TheWroMaFaZeFaO,The Wrong Mans Falsche Zeit falscher Ort,,,,,2,2,GBR,London,"7,7",2014,BBC Studios
SH,Sebastian Heeg,1,Filmakademie Baden Wuerttemberg,FBW,1,1,,,,,,
Grosta,Großstadtrevier,,,,,2,4,DE,Hamburg,"6,2",2022,Studio Hamburg Produktion
FreKoe,Fremdkoeper,,,,,2,6,DE,Ludwigsburg,"6,5",2015,Venice Pictures
OH,Oliver Hirschbiegl,1,Hamburger Hochschule fuer Bildende Kuenste,HBK,3,1,,,,,,
Unwa,Unwanted,,,,,2,6,DE,Mailand,,2023,Sky Italia
TaUimgediNa,Tatort Und immer gewinnt die Nacht,,,,,2,4,DE,Frankfurt am Main,"5,8",2021,ARD Degeto Film
DeMa,Der Maler,,,,,2,,DE,,6,2021,
Bill,Billions,,,,,2,6,USA,,"8,3",2017,Showtime Entertainment
DegleHi,Der gleiche Himmel,,,,,2,6,DE,Babelsberg,"7,4",2017,UFA Fiction
ElErhaediWeve,Elser Er haette die Welt veraendert,,,,,2,6,DE,Muenchen,7,2015,Lucky Bird Pictures
TuWaSpi,Turn Washingtons Spies,,,,,2,6,USA,New York,"8,1",2014,AMC Studios
Dia,Diana,,,,,2,6,UBR,London,"5,6",2013,Ecosse Films
