from,to,relation
EK,HoLa,2
EK,DaHo,2
BbO,18S1E4,1
BbO,18S1E4,2
JF,18S1E4,2
JBN,18S1E4,2
JBN,NoCr,2
JBN,Bupr,2
JBN,UnSt,2
JBN,Caal,2
JBN,EaEn,2
JBN,Hooa,2
BbO,18S1E5,1
BbO,18S1E5,2
JF,18S1E5,2
JLD,18S1E5,2
BbO,18S1E6,1
BbO,18S1E6,2
JF,18SE6,2
ENA,18S1E6,2
ENA,ThGu,2
ENA,ThGuSk,2
ENA,DoTeMeYoDr,2
ENA,JoTe,2
ENA,KaFr,2
ENA,Imo,2
ENA,Heve,2
ENA,Elte,2
ME,SlS1E1,1
ME,ThDi,1
ME,Stere,1
DS,SlS1E1,2
ME,SlS1E2,1
DS,SlS1E2,2
ME,SlS1E3,1
OL,SlS1E3,2
OL,Sl,2
DS,SlsS1E3,2
SY,SlsS1E4,1
DS,SlsS1E4,2
KZ,SlS1E4,2
KZ,DePA,2
KZ,ZEZeAb,2
SY,SlS1E5,1
OK,SlS1E5,2
Sl,OK,2
DS,SlS1E5,2
SY,SlS1E6,1
SY,SaEiSa,1
SY,De89,1
SY,MeKoTa,1
SY,SOLe,1
SY,HaohDa,1
AA,SlS1E6,2
AA,WaDu,2
AA,DiRoCo,2
AA,Stava,2
AA,MeBe,2
DS,SlS1E6,2
DH,Dohaha,2
BbO,DkS1E1,1
BbO,DkS1E2,1
BbO,DkS1E3,1
BbO,DkS1E4,1
BbO,DkS1E5,1
BbO,DkS1E6,1
BbO,DkS1E7,1
BbO,DkS1E8,1
BbO,DkS1E9,1
BbO,DkS1E10,1
BbO,DkS2E1,1
BbO,DkS2E2,1
BbO,DkS2E3,1
BbO,DkS2E4,1
BbO,DkS2E5,1
BbO,DkS2E6,1
BbO,DkS2E7,1
BbO,DkS2E8,1
BbO,DkS3E1,1
BbO,DkS3E2,1
BbO,DkS3E3,1
BbO,DkS3E4,1
BbO,DkS3E5,1
BbO,DkS3E6,1
BbO,DkS3E7,1
BbO,DkS3E8,1
JF,DkS1E1,1
JF,DkS1E2,1
JF,DkS1E3,1
JF,DkS1E4,1
JF,DkS1E5,1
JF,DkS1E6,1
JF,DkS1E7,1
JF,DkS1E8,1
JF,DkS1E9,1
JF,DkS1E10,1
JF,DkS2E1,1
JF,DkS2E2,1
JF,DkS2E3,1
JF,DkS2E4,1
JF,DkS2E5,1
JF,DkS2E6,1
JF,DkS2E7,1
JF,DkS2E8,1
JF,DkS3E1,1
JF,DkS3E2,1
JF,DkS3E3,1
JF,DkS3E4,1
JF,DkS3E5,1
JF,DkS3E6,1
JF,DkS3E7,1
JF,DkS3E8,1
JF,DkS1E1,2
JF,DkS1E2,2
JF,DkS1E3,2
JF,DkS1E4,2
JF,DkS1E5,2
JF,DkS1E6,2
JF,DkS1E7,2
JF,DkS1E8,2
JF,DkS1E9,2
JF,DkS1E10,2
JF,DkS2E1,2
JF,DkS2E2,2
JF,DkS2E3,2
JF,DkS2E4,2
JF,DkS2E5,2
JF,DkS2E6,2
JF,DkS2E7,2
JF,DkS2E8,2
JF,DkS3E1,2
JF,DkS3E2,2
JF,DkS3E3,2
JF,DkS3E4,2
JF,DkS3E5,2
JF,DkS3E6,2
JF,DkS3E7,2
JF,DkS3E8,2
MOS,DkS1E3,2
MOS,Hogr,2
MOS,Unbr,2
MOS,FrDuvoun,2
MOS,CluroBa,2
MOS,Lebe,2
MOS,DiPi,2
MOS,DkS1E7,2
MOS,DkS1E9,2
MOS,DkS2E3,2
MOS,DkS2E7,2
MOS,DkS3E2,2
MOS,DkS3E6,2
MB,DkS1E4,2
MB,DkS1E5,2
MB,DkS1E8,2
MB,DkS2E4,2
MB,DkS2E6,2
MB,MuGa,2
MB,DaQu,2
MB,Wikonian,2
MB,BeAl,2
MB,LaIgmaWa,2
MB,DePrKr,2
MB,DiStMa,2
MB,WijuWist,2
RS,DkS1E2,2
RS,DkS1E6,2
RS,DkS1S10,2
RS,DkS2E2,2
RS,DkS2E5,2
RS,Ok19,2
RS,WiwoMe,2
DF,DkS2E1,2
DF,DkS2E8,2
DF,Fly,2
DF,GrBu,2
DF,Mia,2
MS,UNS1E1,1
MS,ShSa,1
MS,IcbideMe,1
MS,VodeMo,1
AW,UNS1E1,2
AW,TrAn,2
AW,De89,2
AW,De86,2
AW,CoCa,2
AW,De83,2
AW,SOLe,2
AW,SOLe,2
AK,UNS1E1,2
HK,UNS1E1,3
HK,EvFcCr,3
HK,ScHu,3
HK,3eiSt,3
HK,AuDeToBu,3
HK,PaWo7,3
HK,Po110,3
HK,VoBiBi,3
HK,MoPion,3
HK,Erlo,3
HK,BeMe,3
HK,OnTwTh,3
HK,Szgy,3
HK,Dina,3
HK,Dela,3
HK,II,3
HK,Tekp,3
HK,Foev,3
HK,Kuzu,3
HK,FuBe,3
HK,Sama,3
HK,KeibeBe,3
HK,Kadra,3
HK,NaGa,3
MaS,UNS1E2,1
AW,UNS1E2,2
AK,UNS1E2,2
HK,UNS1E2,3
MaS,UNS1E3,1
AW,UNS1E3,2
AK,UNS1E3,2
HK,UNS1E3,3
MaS,UNS1E4,1
AW,UNS1E4,2
AK,UNS1E4,2
HK,UNS1E4,3
SS,DKS1E1,4
NS,DKS1E1,4
FC,DKS1E1,1
KG,DKS1E1,1
KE,DKS1E1,2
BL,DKS1E1,2
JN,DKS1E1,2
JL,DKS1E1,3
FM,DKS1E1,3
SS,DKS1E2,4
NS,DKS1E2,4
FC,DKS1E2,1
KG,DKS1E2,1
KE,DKS1E2,2
BL,DKS1E2,2
JN,DKS1E2,2
JL,DKS1E2,3
FM,DKS1E2,3
SS,DKS1E3,4
NS,DKS1E3,4
FC,DKS1E3,1
KG,DKS1E3,1
KE,DKS1E3,2
BL,DKS1E3,2
JN,DKS1E3,2
JL,DKS1E3,3
FM,DKS1E3,3
SS,DKS1E4,4
NS,DKS1E4,4
FC,DKS1E4,1
KG,DKS1E4,1
KE,DKS1E4,2
BL,DKS1E4,2
JN,DKS1E4,2
JL,DKS1E4,3
FM,DKS1E4,3
SS,DKS1E5,4
NS,DKS1E5,4
FC,DKS1E5,1
KG,DKS1E5,1
KE,DKS1E5,2
BL,DKS1E5,2
JN,DKS1E5,2
JL,DKS1E5,3
FM,DKS1E5,3
SS,DKS1E6,4
NS,DKS1E6,4
FC,DKS1E6,1
KG,DKS1E6,1
KE,DKS1E6,2
BL,DKS1E6,2
JN,DKS1E6,2
JL,DKS1E6,3
FM,DKS1E6,3
LM,HtsDS1E1,1
SC,HtsDS1E1,2
PK,HtsDS1E1,2
MM,HtsDS1E1,2
BF,HtsDS1E1,4
LM,HtsDS1E2,1
SC,HtsDS1E2,2
PK,HtsDS1E2,2
MM,HtsDS1E2,2
BF,HtsDS1E2,4
LM,HtsDS1E3,1
SC,HtsDS1E3,2
PK,HtsDS1E3,2
