id,name,sex,university,university_short,awards,type,genre,country,location,rating,year,Produktionsfirma,Tatort
WiwoMe,Wir wollten aufs Meer,99,,,0,2,6,DE,Saarbruecken,"6,6",2013,UFA Fiction,99
DF,Daphne Ferraro,2,Hochschule fuer Fernsehen und Film Muenchen,HFFM,0,1,6,,,,,,99
Fly,Fly,99,,,0,2,6,DE,Berlin,6,2021,SevenPictures Film,99
GrBu,Grave Butler,99,,,0,2,6,DE,,,2018,Hochschule fuer Fernsehen und Film Muenchen,99
Mia,Mia,99,,,0,2,2,DE,,,2015,,99
K,Kleo,99,,,0,3,99,,,,,,99
KS1,K Staffel 1,99,,,0,2,4,DE,Koeln,,2022,Zeitsprung Pictures GmbH,99
KS1E1,K Staffel 1 Episode 1,99,,,0,2,4,DE,Koeln,"7,2",2022,Zeitsprung Pictures GmbH,99
KS1E2,K Staffel 1 Episode 2,99,,,0,2,4,DE,Koeln,"7,3",2022,Zeitsprung Pictures GmbH,99
KS1E3,K Staffel 1 Episode 3,99,,,0,2,4,DE,Koeln,"7,5",2022,Zeitsprung Pictures GmbH,99
KS1E4,K Staffel 1 Episode 4,99,,,0,2,4,DE,Koeln,"7,5",2022,Zeitsprung Pictures GmbH,99
KS1E5,K Staffel 1 Episode 5,99,,,0,2,4,DE,Koeln,"7,6",2022,Zeitsprung Pictures GmbH,99
KS1E6,K Staffel 1 Episode 6,99,,,0,2,4,DE,Koeln,"7,4",2022,Zeitsprung Pictures GmbH,99
KS1E7,K Staffel 1 Episode 7,99,,,0,2,4,DE,Koeln,"7,6",2022,Zeitsprung Pictures GmbH,99
KS1E8,K Staffel 1 Epsiode 8,99,,,0,2,4,DE,Koeln,"7,4",2022,Zeitsprung Pictures GmbH,99
VA,Viviane Andereggen,2,Universitaet Basel,UB,3,1,4,,,,,,1
TaZue,Tatort Zueri braennt,99,,,0,2,4,CHE,Frankfurt am Main,"5,7",2020,ARD Degeto Film,99
TaScho,Tatort Schoggilaebe,99,,,0,2,4,CHE,Frankfurt am Main,5,2021,ARD Degeto Film,99
DiDr,Die drei Ausrufezeichen,99,,,0,2,4,DE,Muenchen,5,2019,Constantin Film,99
KeCaCuOn,Keep Calm and Curry on,99,,,0,2,6,DE,Koeln,,2019,Network Movie Film und Fernsehproduktion,99
Rumo,Rufmord,99,,,0,2,4,DE,Muenchen,"6,6",2018,Hager Moss Film,99
KeHefuIn,Kein Herz fuer Inder,99,,,0,2,6,DE,Koeln,"5,4",2017,Network Movie Film und Fernsehproduktion,99
HaundeNe,Hattinger und der Nebel Ein Chiemseekrimi,99,,,0,2,4,DE,Koeln,"6,3",2016,Network Movie Film und Fernsehproduktion,99
SiSaAu,Simon sagt Auf Wiedersehen zu seiner Vorhaut,99,,,0,2,2,DE,Hamburg,"6,2",2015,Element e Filmproduktion,99
SchuUmSchu,Schuld um Schuld,99,,,0,2,6,DE,Hamburg,"5,2",2014,Hamburg Media School,99
HaUnDeHu,Habib und der Hund,99,,,0,2,2,DE,Hamburg,,2014,Hamburg Media School,99
FuLo,Fuer Lotte,99,,,0,2,6,DE,,,2013,,99
JBC,Jano Ben Chaabane,1,,,1,1,4,,,,,,99
DeWiKr,Der Wien Krimi Bild ermittelt Lebendig begraben,99,,,0,2,4,AUT,Wien,"6,1",2021,Mona Film Produktion,99
Mapa,Mapa,99,,,0,2,2,DE,Berlin,"7,1",2020,Readymade Films,99
BliErSevoWi,Blind ermittelt Die verlorenen Seelen von Wien,99,,,0,2,4,AUT,Wien,"5,8",2019,Mona Film Produktion,99
BliErMaevoWi,Blind ermittelt Die toten Maedchen von Wien,99,,,0,2,4,AUT,Wien,"6,8",2018,Mona Film Produktion,99
EiMaEiWa,Ein Mann eine Wahl,99,,,0,2,99,DE,Muenchen,,2017,ProSieben,99
CuNiSchu,Culpa Niemand ist ohne Schuld,99,,,0,2,4,DE,New York,"6,4",2017,NBCUniversal International Networks,99
StuAm,Studio Amani,99,,,0,2,99,DE,Munenchen,,2016,ProSieben,99
HHCK,Hanno Hackfort,1,,,1,1,4,,,,,,1
GuFr,Gute Freunde Der Aufstieg des FC Bayern,99,,,0,2,6,DE,Babelsberg,,2023,UFA Fiction,99
PaWeKi,Para We are King,99,,,0,2,6,DE,Muenchen,"6,7",2023,WundB Television,99
TaLoisPa,Tatort Love is Pain,99,,,0,2,4,DE,Koeln,"6,7",2023,Ester Reglin Film,99
FuFoDo,Funeral for a Dog,99,,,0,2,4,DE,Berlin,"6,7",2022,Flare Entertainment,99
SOPo,SOKO Potsdam,99,,,0,2,4,DE,Koeln,"6,5",2021,Bantry Bay Productions,99
SpeLi,Specialiste,99,,,0,2,4,CZE,Irving,"5,9",2020,D N A Production,99
4Blo,4 Blocks,99,,,0,2,4,DE,Muenchen,"8,2",2019,WundB Television,99
MoimNo,Morden im Norden,99,,,0,2,2,DE,Leipzig,"5,7",2018,MDR,99
LaunEr,Labaule und Erben,99,,,0,2,2,DE,Stuttgart,"6,8",2018,SWR,99
YoArWa,You Are Wanted,99,,,0,2,6,DE,Culver City,"6,1",2018,Amazon Studios,99
KounHa,Koslowski und Haferkamp,99,,,0,2,2,DE,,"7,1",2014,,99
VeLie,Verbotene Liebe,99,,,0,2,6,DE,Potsdam,"5,2",2013,UFA Serial Drama,99
RK,Richard Kropf,1,Lee Strasberg Theatre und Film Institute,LSTFI,1,1,4,,,,,,99
WoEnRe,Wochenendrebellen,99,,,0,2,2,DE,Muenchen,,2023,Wiedemann und Berg Filmproduktion,99
LaXMa,Last X Mas,99,,,0,2,3,DE,Koeln,"6,8",2022,Bantry Bay Production,99
HotoDa,How to Dad,99,,,0,2,2,DE,Muenchen,"6,3",2022,Keshet Tresor Fiction,99
DeRVoLenaWi,Der Rebell Von Leim nach Wimbledon,99,,,0,2,6,DE,Muenchen,"6,2",2021,Violet Pictures,99
DaWiimLe,Das Wichtigste im Leben,99,,,0,2,2,DE,Koeln,"6,5",2019,Bantry Bay Production,99
JoKL,Josephine Klick Allein unter Cops,99,,,0,2,2,DE,Babelsberg,"6,9",2014,UFA Fiction,99
DeKna,Der Knastarzt,99,,,0,2,6,DE,Koeln,7,2014,ITV Studios Germany,99
ThLaCo,The Last Cop How It All Began,99,,,0,2,2,DE,Unterfoeringen,,2013,ProSiebenSat 1 Media SE,99
DeleBu,Der letzte Bulle,99,,,0,2,4,DE,Koeln,"7,3",2013,ITV Studios Germany,99
BK,Bob Konrad,1,Universitaet der Kuenste Berlin,UDK,1,1,4,,,,,,1
DeklRaSo,Der kleine Rabe Socke Die Serie,99,,,0,2,99,DE,Angouleme,"8,2",2017,2 Minutes Animation,99
DaZei,Das Zeitkarussell,99,,,0,2,99,DE,Hannover,"8,3",2015,Ambient Entertainment GmbH,99
DoB,Dogs of Berlin,99,,,0,3,4,DE,Berlin,,,,99
DoBS1,DoB Staffel 1,99,,,0,2,99,,,,,,99
DoBS1E1,DoB Staffel 1 Episode 1,99,,,0,2,4,DE,Berlin,"7,4",2018,Syrreal Entertainment GmbH,99
DoBS1E2,DoB Staffel 1 Episode 2,99,,,0,2,4,DE,Berlin,"7,4",2018,Syrreal Entertainment GmbH,99
DoBS1E3,DoB Staffel 1 Episode 3,99,,,0,2,4,DE,Berlin,"7,5",2018,Syrreal Entertainment GmbH,99
DoBS1E4,DoB Staffel 1 Episode 4,99,,,0,2,4,DE,Berlin,"7,6",2018,Syrreal Entertainment GmbH,99
DoBS1E5,DoB Staffel 1 Episode 5,99,,,0,2,4,DE,Berlin,"7,6",2018,Syrreal Entertainment GmbH,99
DoBS1E6,DoB Staffel 1 Episode 6,99,,,0,2,4,DE,Berlin,"7,5",,Syrreal Entertainment GmbH,99
DoBS1E7,DoB Staffel 1 Episode 7,99,,,0,2,4,DE,Berlin,"7,6",,Syrreal Entertainment GmbH,99
DoBS1E8,DoB Staffel 1 Episode 8,99,,,0,2,4,DE,Berlin,"7,9",,Syrreal Entertainment GmbH,99
DoBS1E9,DoB Staffel 1 Episode 9,99,,,0,2,4,DE,Berlin,"8,3",,Syrreal Entertainment GmbH,99
DoBS1E10,DoB Staffel 1 Episode 10,99,,,0,2,4,DE,Berlin,"8,4",,Syrreal Entertainment GmbH,99
CA,Christian Alvart,1,,,3,1,4,,,,,,1
SlBo,Sloborn,99,,,0,2,6,DE,Berlin,"6,7",2021,Syrreal Entertainment,99
ZeNe,Ze Network,99,,,0,2,2,DE,Los Angeles,"6,1",2022,CBS Studios,99
FrLa,Freies Land,99,,,0,2,4,DE,Berlin,"6,7",2019,Syrreal Entertainment,99
AbGe,Abgeschnitten,99,,,0,2,4,DE,Berlin,"6,5",2018,Syrreal Entertainment,99
SteiNiAu,Steig Nicht Aus,99,,,0,2,4,DE,Berlin,"5,8",2018,Syrreal Entertainment,99
HaBrue,Halbe Brueder,99,,,0,2,2,DE,Universal City,"5,4",2015,Universal Pictures,99
